Candidate_ID,Gender,College,Experience,Skills_Score,Selected,Experience_Group,Baseline_Score,Baseline_Rank,Constraint1_Score,Constraint2_Score,Experience_Capped,Constraint3_Score,Fair_Rank,Fair_Shortlisted,Baseline_Shortlisted
C1,Male,Tier1,4,93,Yes,Medium_Experience,89.5,12.0,84.5,81.8,4,82.45,1.0,Yes,Yes
C2,Female,Tier2,3,83,No,Medium_Experience,67.5,43.0,67.5,68.8,3,69.95,28.0,No,No
C3,Female,Tier1,1,80,No,Low_Experience,54.0,61.0,54.0,56.0,1,59.0,58.0,No,No
C4,Female,Tier2,4,89,Yes,Medium_Experience,78.5,28.0,78.5,78.4,4,78.85,7.0,Yes,No
C5,Male,Tier3,6,79,Yes,High_Experience,92.5,9.0,87.5,83.4,4,71.35,23.0,No,Yes
C6,Male,Tier1,4,78,Yes,Medium_Experience,82.0,22.0,77.0,72.8,4,72.7,18.0,Yes,No
C7,Male,Tier2,6,67,Yes,High_Experience,88.5,13.0,83.5,77.19999999999999,4,64.55000000000001,45.0,No,Yes
C8,Female,Tier3,3,61,No,Medium_Experience,54.5,60.0,54.5,54.6,3,54.65,70.0,No,No
C9,Female,Tier1,6,90,Yes,High_Experience,99.0,5.0,99.0,92.0,4,80.5,4.0,Yes,Yes
C10,Female,Tier1,1,74,No,Low_Experience,51.0,64.0,51.0,52.4,1,55.1,67.0,No,No
C11,Male,Tier1,3,55,No,Medium_Experience,62.5,49.0,57.5,53.0,3,52.75,72.0,No,No
C12,Female,Tier1,1,62,No,Low_Experience,45.0,67.0,45.0,45.199999999999996,1,47.300000000000004,77.0,No,No
C13,Female,Tier3,5,70,Yes,High_Experience,75.0,33.0,75.0,72.0,4,65.5,40.0,No,No
C14,Male,Tier3,2,68,No,Low_Experience,55.0,59.0,50.0,52.8,2,54.2,71.0,No,No
C15,Male,Tier2,6,66,Yes,High_Experience,88.0,14.0,83.0,76.6,4,63.9,47.0,No,Yes
C16,Male,Tier3,2,77,No,Low_Experience,59.5,51.0,54.5,58.199999999999996,2,60.050000000000004,55.0,No,No
C17,Male,Tier3,2,69,No,Low_Experience,55.5,58.0,50.5,53.4,2,54.85,68.0,No,No
C18,Male,Tier1,6,82,Yes,High_Experience,100.0,3.0,95.0,87.19999999999999,4,75.30000000000001,12.0,Yes,Yes
C19,Male,Tier3,3,88,Yes,Medium_Experience,73.0,35.0,68.0,70.8,3,72.2,19.0,Yes,No
C20,Male,Tier2,5,56,Yes,High_Experience,75.0,33.0,70.0,64.6,4,57.4,62.0,No,No
C21,Female,Tier3,1,86,No,Low_Experience,51.0,64.0,51.0,57.6,1,60.9,53.0,No,No
C22,Male,Tier3,4,77,Yes,Medium_Experience,75.5,32.0,70.5,70.19999999999999,4,70.05000000000001,27.0,No,No
C23,Male,Tier1,1,76,No,Low_Experience,57.0,55.0,52.0,53.6,1,56.4,65.0,No,No
C24,Male,Tier1,4,79,Yes,Medium_Experience,82.5,21.0,77.5,73.4,4,73.35,16.0,Yes,No
C25,Male,Tier1,1,76,No,Low_Experience,57.0,55.0,52.0,53.6,1,56.4,65.0,No,No
C26,Female,Tier2,6,76,Yes,High_Experience,88.0,14.0,88.0,82.6,4,70.4,26.0,No,Yes
C27,Male,Tier3,5,60,Yes,High_Experience,75.0,33.0,70.0,66.0,4,59.0,58.0,No,No
C28,Male,Tier3,4,69,Yes,Medium_Experience,71.5,38.0,66.5,65.4,4,64.85,44.0,No,No
C29,Female,Tier1,3,91,Yes,Medium_Experience,75.5,32.0,75.5,74.6,3,76.15,10.0,Yes,No
C30,Male,Tier2,1,87,No,Low_Experience,58.5,53.0,53.5,59.199999999999996,1,62.550000000000004,51.0,No,No
C31,Female,Tier2,1,62,No,Low_Experience,41.0,71.0,41.0,44.199999999999996,1,46.300000000000004,78.0,No,No
C32,Male,Tier1,4,59,Yes,Medium_Experience,72.5,36.0,67.5,61.4,4,60.35,54.0,No,No
C33,Male,Tier1,3,93,Yes,Medium_Experience,81.5,23.0,76.5,75.8,3,77.45,9.0,Yes,No
C34,Female,Tier1,3,58,No,Medium_Experience,59.0,52.0,59.0,54.8,3,54.7,69.0,No,No
C35,Female,Tier3,6,60,Yes,High_Experience,78.0,29.0,78.0,72.0,4,59.0,58.0,No,No
C36,Female,Tier1,6,86,Yes,High_Experience,97.0,6.0,97.0,89.6,4,77.9,8.0,Yes,Yes
C37,Male,Tier2,6,84,Yes,High_Experience,97.0,6.0,92.0,87.4,4,75.6,11.0,Yes,Yes
C38,Male,Tier2,6,89,Yes,High_Experience,99.5,4.0,94.5,90.4,4,78.85,7.0,Yes,Yes
C39,Female,Tier2,6,94,Yes,High_Experience,97.0,6.0,97.0,93.4,4,82.1,2.0,Yes,Yes
C40,Male,Tier3,6,70,Yes,High_Experience,88.0,14.0,83.0,78.0,4,65.5,40.0,No,Yes
C41,Male,Tier3,5,67,Yes,High_Experience,78.5,28.0,73.5,70.19999999999999,4,63.550000000000004,48.0,No,No
C42,Male,Tier1,3,84,Yes,Medium_Experience,77.0,30.0,72.0,70.4,3,71.6,22.0,No,No
C43,Male,Tier2,6,73,Yes,High_Experience,91.5,10.0,86.5,80.8,4,68.45,31.0,No,Yes
C44,Female,Tier1,3,71,No,Medium_Experience,65.5,45.0,65.5,62.6,3,63.15,49.0,No,No
C45,Male,Tier1,3,73,Yes,Medium_Experience,71.5,38.0,66.5,63.8,3,64.45,46.0,No,No
C46,Female,Tier1,2,82,No,Low_Experience,63.0,48.0,63.0,63.199999999999996,2,65.30000000000001,41.0,No,No
C47,Male,Tier2,5,80,Yes,High_Experience,87.0,15.0,82.0,79.0,4,73.0,17.0,Yes,Yes
C48,Male,Tier2,6,91,Yes,High_Experience,100.5,2.0,95.5,91.6,4,80.15,5.0,Yes,Yes
C49,Male,Tier1,1,80,No,Low_Experience,59.0,52.0,54.0,56.0,1,59.0,58.0,No,No
C50,Male,Tier1,4,77,Yes,Medium_Experience,81.5,23.0,76.5,72.19999999999999,4,72.05000000000001,20.0,Yes,No
C51,Female,Tier3,1,63,No,Low_Experience,39.5,72.0,39.5,43.8,1,45.95,79.0,No,No
C52,Female,Tier1,5,66,Yes,High_Experience,79.0,27.0,79.0,71.6,4,64.9,43.0,No,No
C53,Female,Tier1,4,55,No,Medium_Experience,65.5,45.0,65.5,59.0,4,57.75,60.0,No,No
C54,Female,Tier2,5,55,No,High_Experience,69.5,40.0,69.5,64.0,4,56.75,63.0,No,No
C55,Female,Tier3,3,88,No,Medium_Experience,68.0,42.0,68.0,70.8,3,72.2,19.0,Yes,No
C56,Female,Tier1,4,86,Yes,Medium_Experience,81.0,24.0,81.0,77.6,4,77.9,8.0,Yes,No
C57,Male,Tier2,3,79,Yes,Medium_Experience,70.5,39.0,65.5,66.4,3,67.35,34.0,No,No
C58,Male,Tier3,1,94,No,Low_Experience,60.0,50.0,55.0,62.4,1,66.1,38.0,No,No
C59,Male,Tier1,1,55,No,Low_Experience,46.5,66.0,41.5,41.0,1,42.75,81.0,No,No
C60,Male,Tier2,4,70,Yes,Medium_Experience,74.0,34.0,69.0,67.0,4,66.5,36.0,No,No
C61,Male,Tier2,4,93,Yes,Medium_Experience,85.5,17.0,80.5,80.8,4,81.45,3.0,Yes,Yes
C62,Male,Tier2,6,59,Yes,High_Experience,84.5,19.0,79.5,72.4,4,59.35,56.0,No,Yes
C63,Female,Tier2,5,76,Yes,High_Experience,80.0,25.0,80.0,76.6,4,70.4,26.0,No,No
C64,Male,Tier2,6,83,Yes,High_Experience,96.5,7.0,91.5,86.8,4,74.95,13.0,Yes,Yes
C65,Male,Tier1,5,57,Yes,High_Experience,79.5,26.0,74.5,66.19999999999999,4,59.050000000000004,57.0,No,No
C66,Male,Tier3,6,66,Yes,High_Experience,86.0,16.0,81.0,75.6,4,62.9,50.0,No,Yes
C67,Male,Tier1,3,80,Yes,Medium_Experience,75.0,33.0,70.0,68.0,3,69.0,29.0,No,No
C68,Female,Tier1,4,70,Yes,Medium_Experience,73.0,35.0,73.0,68.0,4,67.5,33.0,No,No
C69,Male,Tier1,1,91,No,Low_Experience,64.5,47.0,59.5,62.6,1,66.15,37.0,No,No
C70,Female,Tier2,5,76,Yes,High_Experience,80.0,25.0,80.0,76.6,4,70.4,26.0,No,No
C71,Female,Tier2,5,83,Yes,High_Experience,83.5,20.0,83.5,80.8,4,74.95,13.0,Yes,Yes
C72,Male,Tier1,1,68,No,Low_Experience,53.0,62.0,48.0,48.8,1,51.2,73.0,No,No
C73,Male,Tier2,6,82,Yes,High_Experience,96.0,8.0,91.0,86.19999999999999,4,74.30000000000001,14.0,Yes,Yes
C74,Female,Tier1,5,59,Yes,High_Experience,75.5,32.0,75.5,67.4,4,60.35,54.0,No,No
C75,Female,Tier2,3,84,No,Medium_Experience,68.0,42.0,68.0,69.4,3,70.6,24.0,No,No
C76,Female,Tier1,4,59,No,Medium_Experience,67.5,43.0,67.5,61.4,4,60.35,54.0,No,No
C77,Female,Tier2,1,66,No,Low_Experience,43.0,69.0,43.0,46.6,1,48.9,75.0,No,No
C78,Male,Tier2,4,70,Yes,Medium_Experience,74.0,34.0,69.0,67.0,4,66.5,36.0,No,No
C79,Male,Tier3,5,80,Yes,High_Experience,85.0,18.0,80.0,78.0,4,72.0,21.0,No,Yes
C80,Male,Tier1,5,80,Yes,High_Experience,91.0,11.0,86.0,80.0,4,74.0,15.0,Yes,Yes
C81,Female,Tier1,1,75,No,Low_Experience,51.5,63.0,51.5,53.0,1,55.75,66.0,No,No
C82,Female,Tier1,3,93,Yes,Medium_Experience,76.5,31.0,76.5,75.8,3,77.45,9.0,Yes,No
C83,Male,Tier3,2,90,No,Low_Experience,66.0,44.0,61.0,66.0,2,68.5,30.0,No,No
C84,Male,Tier3,1,87,No,Low_Experience,56.5,56.0,51.5,58.199999999999996,1,61.550000000000004,52.0,No,No
C85,Male,Tier1,2,84,No,Low_Experience,69.0,41.0,64.0,64.4,2,66.6,35.0,No,No
C86,Male,Tier2,6,91,Yes,High_Experience,100.5,2.0,95.5,91.6,4,80.15,5.0,Yes,Yes
C87,Female,Tier3,2,77,No,Low_Experience,54.5,60.0,54.5,58.199999999999996,2,60.050000000000004,55.0,No,No
C88,Female,Tier2,3,64,No,Medium_Experience,58.0,54.0,58.0,57.4,3,57.6,61.0,No,No
C89,Female,Tier2,6,59,Yes,High_Experience,79.5,26.0,79.5,72.4,4,59.35,56.0,No,No
C90,Male,Tier1,2,90,Yes,Low_Experience,72.0,37.0,67.0,68.0,2,70.5,25.0,No,No
C91,Male,Tier1,6,88,Yes,High_Experience,103.0,1.0,98.0,90.8,4,79.2,6.0,Yes,Yes
C92,Female,Tier3,2,85,No,Low_Experience,58.5,53.0,58.5,63.0,2,65.25,42.0,No,No
C93,Female,Tier3,3,64,No,Medium_Experience,56.0,57.0,56.0,56.4,3,56.6,64.0,No,No
C94,Female,Tier2,2,73,No,Low_Experience,54.5,60.0,54.5,56.8,2,58.45,59.0,No,No
C95,Female,Tier1,2,86,No,Low_Experience,65.0,46.0,65.0,65.6,2,67.9,32.0,No,No
C96,Male,Tier1,2,55,No,Low_Experience,54.5,60.0,49.5,47.0,2,47.75,76.0,No,No
C97,Male,Tier2,1,59,No,Low_Experience,44.5,68.0,39.5,42.4,1,44.35,80.0,No,No
C98,Male,Tier3,1,58,No,Low_Experience,42.0,70.0,37.0,40.8,1,42.7,82.0,No,No
C99,Male,Tier3,1,70,No,Low_Experience,48.0,65.0,43.0,48.0,1,50.5,74.0,No,No
C100,Male,Tier3,3,78,No,Medium_Experience,68.0,42.0,63.0,64.8,3,65.7,39.0,No,No
